Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
84677,2,2,44508,62799,8215,9074,38417,38954,210663295,218968602,1,500,20
77171,2,2,43636,60560,6337,6495,33624,34262,210663295,218968602,1,500,20
76682,2,2,42650,60589,7607,7772,34719,35328,210663295,218968602,1,500,20
83017,2,2,44016,64716,7402,8252,40783,41628,210663295,218968602,1,500,20
74534,2,2,41468,57749,6820,7276,31543,31971,210663295,218968602,1,500,20
85268,2,2,44977,65896,7973,8679,42325,43045,210663295,218968602,1,500,20
78511,2,2,43852,60765,7435,7889,32635,33186,210663295,218968602,1,500,20
71982,2,2,41525,54340,7454,8144,25330,25908,210663295,218968602,1,500,20
73174,2,2,42362,56022,7108,7580,27042,27579,210663295,218968602,1,500,20
76169,2,2,43517,59805,7046,7313,31696,32047,210663295,218968602,1,500,20
75254,2,2,41336,58701,6792,7090,33422,33967,210663295,218968602,1,500,20
85273,2,2,42286,60606,11862,12881,38975,40224,210663295,218968602,1,500,20
76406,2,2,41781,58224,7189,7321,32755,33385,210663295,218968602,1,500,20
84557,2,2,44674,65167,7343,7789,41526,42021,210663295,218968602,1,500,20
78221,2,2,43152,62754,6536,6594,38475,38967,210663295,218968602,1,500,20
79394,2,2,45836,62546,7512,7860,32713,33228,210663295,218968602,1,500,20
81099,2,2,44517,63410,7110,7685,38151,38735,210663295,218968602,1,500,20
80443,2,2,44949,64196,7191,7265,37507,38019,210663295,218968602,1,500,20
85982,2,2,43640,60932,7004,7506,34379,34903,210663295,218968602,1,500,20
72676,2,2,40446,54944,7290,8038,28140,28604,210663295,218968602,1,500,20

