complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
173725,288,302,62003,3967,23605,359965927,120
71848,288,302,18809,3142,11507,359965927,120
74528,288,302,19471,3196,13390,359965927,120
122914,288,302,26071,2833,34796,359965927,120
76852,288,302,19721,3122,14022,359965927,120
92559,288,302,19564,3083,22481,359965927,120
103964,288,302,21103,2907,27743,359965927,120
88546,288,302,18647,2958,21173,359965927,120
93192,288,302,20551,3173,22455,359965927,120
100026,288,302,20231,2939,26506,359965927,120
77878,288,302,18641,3151,15199,359965927,120
85763,288,302,18319,3574,9952,359965927,120
71704,288,302,18372,2970,12433,359965927,120
130929,288,302,19452,2884,44814,359965927,120
149630,288,302,19324,2812,56259,359965927,120
74847,288,302,19459,3039,13248,359965927,120
85775,288,302,19243,3480,12860,359965927,120
91045,288,302,19944,2958,22299,359965927,120
108434,288,302,22388,2796,29543,359965927,120
82439,288,302,20159,3096,17284,359965927,120
