complTime,dataSize,nCores
42403,783000000,120
34973,783000000,120
32841,783000000,120
33931,783000000,120
38646,783000000,120
40496,783000000,120
37604,783000000,120
37013,783000000,120
36045,783000000,120
45119,783000000,120
40570,783000000,120
39263,783000000,120
36173,783000000,120
36710,783000000,120
39542,783000000,120
37860,783000000,120
40333,783000000,120
35697,783000000,120
39131,783000000,120
35832,783000000,120
