complTime,dataSize,nCores
79482,31321566,120
77189,31321566,120
79274,31321566,120
82701,31321566,120
78731,31321566,120
78194,31321566,120
79887,31321566,120
74405,31321566,120
80881,31321566,120
76495,31321566,120
80946,31321566,120
86769,31321566,120
82579,31321566,120
74572,31321566,120
77393,31321566,120
78950,31321566,120
76748,31321566,120
75598,31321566,120
79739,31321566,120
80317,31321566,120
