complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
30250,381,400,10021,1486,4738,720007118,1
30250,381,400,10021,1486,4738,720007118,2
30250,381,400,10021,1486,4738,720007118,3
30250,381,400,10021,1486,4738,720007118,4
30250,381,400,10021,1486,4738,720007118,5
30250,381,400,10021,1486,4738,720007118,6
30250,381,400,10021,1486,4738,720007118,7
30250,381,400,10021,1486,4738,720007118,8
30250,381,400,10021,1486,4738,720007118,9
30250,381,400,10021,1486,4738,720007118,10
30250,381,400,10021,1486,4738,720007118,11
30250,381,400,10021,1486,4738,720007118,12
30250,381,400,10021,1486,4738,720007118,13
30250,381,400,10021,1486,4738,720007118,14
30250,381,400,10021,1486,4738,720007118,15
30250,381,400,10021,1486,4738,720007118,16
30250,381,400,10021,1486,4738,720007118,17
30250,381,400,10021,1486,4738,720007118,18
30250,381,400,10021,1486,4738,720007118,19
30250,381,400,10021,1486,4738,720007118,20
30250,381,400,10021,1486,4738,720007118,21
30250,381,400,10021,1486,4738,720007118,22
30250,381,400,10021,1486,4738,720007118,23
30250,381,400,10021,1486,4738,720007118,24
30250,381,400,10021,1486,4738,720007118,25
30250,381,400,10021,1486,4738,720007118,26
30250,381,400,10021,1486,4738,720007118,27
30250,381,400,10021,1486,4738,720007118,28
30250,381,400,10021,1486,4738,720007118,29
30250,381,400,10021,1486,4738,720007118,30
30250,381,400,10021,1486,4738,720007118,31
30250,381,400,10021,1486,4738,720007118,32
30250,381,400,10021,1486,4738,720007118,33
30250,381,400,10021,1486,4738,720007118,34
30250,381,400,10021,1486,4738,720007118,35
30250,381,400,10021,1486,4738,720007118,36
30250,381,400,10021,1486,4738,720007118,37
30250,381,400,10021,1486,4738,720007118,38
30250,381,400,10021,1486,4738,720007118,39
30250,381,400,10021,1486,4738,720007118,40
