Application class: Q4
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,users,dataSize,nCores
243098,50,70619,122114,20,1911,4290,33514,44699,21063902,21222333,1,519,519,28941,28941,5069,5069,1,50,16
253698,50,72191,127805,18,1984,3995,46284,73965,21063902,21222333,1,1255,1255,8679,8679,5069,5069,1,50,16
268584,50,70428,123392,17,1718,3333,72420,102956,21063902,21222333,1,1090,1090,8782,8782,5069,5069,1,50,16
275628,50,70375,122245,18,2797,6521,51185,77044,21063902,21222333,2,302,482,28895,28895,5069,5069,1,50,16
241360,50,66397,110161,15,2404,4474,57239,78116,21063902,21222333,1,453,453,22515,22515,5069,5069,1,50,16
258402,50,69094,118977,18,1979,5131,42563,72348,21063902,21222333,1,1516,1516,26136,26136,5069,5069,1,50,16
259310,50,67573,115005,18,2012,4272,65578,98325,21063902,21222333,1,219,219,11768,11768,5069,5069,1,50,16
263695,50,69801,114419,19,2307,4157,51095,86792,21063902,21222333,1,219,219,21846,21846,5069,5069,1,50,16
247791,50,66258,120788,16,1979,3362,66289,89975,21063902,21222333,1,213,213,16137,16137,5069,5069,1,50,16
251802,50,72076,116250,15,1830,4522,56970,77413,21063902,21222333,1,189,189,26393,26393,5069,5069,1,50,16
225872,50,65965,114140,13,2581,4029,48942,64431,21063902,21222333,1,266,266,10149,10149,5069,5069,1,50,16
243484,50,69081,113580,16,1598,3257,49599,71105,21063902,21222333,1,329,329,23209,23209,5069,5069,1,50,16
251844,50,68809,122049,16,2109,4304,41068,64845,21063902,21222333,1,211,211,24242,24242,5069,5069,1,50,16
274355,50,69924,111868,17,2343,7777,62901,83780,21063902,21222333,1,393,393,28338,28338,5069,5069,1,50,16
249794,50,67054,116967,16,1933,5586,64344,82117,21063902,21222333,1,289,289,13344,13344,5069,5069,1,50,16
249596,50,65303,111277,17,2052,4936,52852,76024,21063902,21222333,1,263,263,29309,29309,5069,5069,1,50,16
255047,50,67253,120813,17,2782,5352,60015,77593,21063902,21222333,1,677,677,24376,24376,5069,5069,1,50,16
265575,50,70184,121132,21,2362,5380,42170,77776,21063902,21222333,1,1701,1701,22791,22791,5069,5069,1,50,16
267135,50,70566,115589,18,2192,5159,56553,78387,21063902,21222333,1,327,327,27090,27090,5069,5069,1,50,16
233946,50,68838,107785,12,2670,3432,61984,72154,21063902,21222333,1,511,511,3539,3539,5069,5069,1,50,16

