complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
798063,868,910,43408,3194,29347,1079995733,60
799256,868,910,42674,3433,29295,1079995733,60
801753,868,910,43192,3238,29734,1079995733,60
808403,868,910,43477,3195,29887,1079995733,60
800083,868,910,42103,3237,28696,1079995733,60
796384,868,910,41983,3285,30195,1079995733,60
812471,868,910,41263,3446,32468,1079995733,60
790245,868,910,42790,3219,28406,1079995733,60
831170,868,910,44809,3182,31071,1079995733,60
811397,868,910,42838,3525,29493,1079995733,60
807388,868,910,43378,3337,30264,1079995733,60
803020,868,910,43055,3438,30117,1079995733,60
804833,868,910,42843,3465,28884,1079995733,60
830367,868,910,43619,3332,31979,1079995733,60
806663,868,910,42377,3426,30141,1079995733,60
786571,868,910,41732,3271,29434,1079995733,60
836895,868,910,45180,3355,31486,1079995733,60
802383,868,910,42420,3404,29252,1079995733,60
810948,868,910,43356,3362,30544,1079995733,60
831517,868,910,44163,3239,31603,1079995733,60
