complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
1236579,65,68,238817,12843,1100227,783000000,120
673095,65,68,151890,11209,534739,783000000,120
924705,66,68,237228,12843,771182,783000000,120
668007,65,68,194716,11559,534165,783000000,120
585865,65,68,130416,11754,436451,783000000,120
651629,65,68,143530,12124,502535,783000000,120
841762,65,68,177759,12856,647438,783000000,120
1291963,66,69,246269,11809,1007177,783000000,120
759529,65,68,168649,12799,572114,783000000,120
769006,65,68,165324,11454,617106,783000000,120
888696,65,68,262012,11416,743386,783000000,120
677484,65,68,150446,11651,510183,783000000,120
523039,65,68,129850,10906,389376,783000000,120
1161512,64,68,281509,11553,1028032,783000000,120
882880,65,68,170811,11897,697765,783000000,120
642624,65,68,167084,11213,510555,783000000,120
700962,65,68,153229,11759,552970,783000000,120
554017,65,68,126890,11093,413067,783000000,120
1015554,65,68,277296,11960,814341,783000000,120
771770,65,68,242100,11115,617306,783000000,120
