complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
237732,288,302,55244,2797,29748,359965927,80
171640,288,302,17222,2778,39929,359965927,80
194672,288,302,22480,2793,43500,359965927,80
157218,288,302,15774,2679,35442,359965927,80
134734,288,302,16345,2735,25605,359965927,80
143707,288,302,16035,2953,29993,359965927,80
128412,288,302,19256,2877,20998,359965927,80
122300,288,302,16709,2936,21259,359965927,80
100218,288,302,17350,2857,12240,359965927,80
107742,288,302,17352,2773,10858,359965927,80
172276,288,302,24685,2871,32876,359965927,80
216603,288,302,39009,2810,36510,359965927,80
104063,288,302,17178,2937,13442,359965927,80
195652,288,302,17616,2856,47902,359965927,80
212910,288,302,51497,3062,23970,359965927,80
156991,288,302,29523,2922,22503,359965927,80
146143,288,302,21494,2793,22720,359965927,80
204102,288,302,43042,2870,27341,359965927,80
176789,288,302,29299,2833,30072,359965927,80
212318,288,302,39279,2756,31549,359965927,80
