complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
390760,287,300,44474,1658,25698,360014110,60
411257,287,300,47058,2064,25456,360014110,60
411623,287,300,47203,1812,28396,360014110,60
365254,287,300,37013,1717,26643,360014110,60
405714,287,300,47172,1821,26376,360014110,60
388811,287,300,45392,1752,25204,360014110,60
413481,287,300,47277,1835,28603,360014110,60
303058,287,300,24819,2847,24579,360014110,60
403710,287,300,46769,2040,27811,360014110,60
340517,287,300,34117,1792,26755,360014110,60
356782,287,300,39596,2265,23358,360014110,60
411939,287,300,46156,1762,27851,360014110,60
384721,287,300,44038,1644,24854,360014110,60
360309,287,300,40102,2416,23579,360014110,60
404316,287,300,46417,1846,27748,360014110,60
321086,287,300,28884,1900,27966,360014110,60
390063,287,300,45143,1620,24415,360014110,60
392296,287,300,46667,1726,24734,360014110,60
308202,287,300,27918,1891,26176,360014110,60
398649,287,300,46603,1762,25841,360014110,60
