Application class: R4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
316827,288,302,20569,43609,2855,12137,19716,228281,920625,1111218,1,250,90
297299,288,302,21343,67324,1941,3292,17329,225093,920625,1111218,1,250,90
450185,288,302,34538,86328,1876,2834,27025,374139,920625,1111218,1,250,90
193853,288,302,11913,34032,1859,3400,11259,122804,920625,1111218,1,250,90
407654,288,302,30153,64347,2027,3374,24955,321318,920625,1111218,1,250,90
450572,288,302,33999,79951,1927,3090,27653,374099,920625,1111218,1,250,90
193769,288,302,11859,32890,1863,2692,11663,126182,920625,1111218,1,250,90
390928,288,302,28450,82183,1931,3537,23448,300872,920625,1111218,1,250,90
424752,289,302,33467,85488,1903,3028,24283,333552,920625,1111218,1,250,90
204304,288,302,12799,31234,1880,3661,12178,138435,920625,1111218,1,250,90
197314,288,302,12339,34820,1845,2678,11493,127721,920625,1111218,1,250,90
263854,288,302,18217,37221,1878,3226,15140,189033,920625,1111218,1,250,90
247217,288,302,16381,33565,1894,3161,14957,178689,920625,1111218,1,250,90
199752,288,302,12920,54333,1959,3345,11437,128730,920625,1111218,1,250,90
223152,288,302,13498,34906,1881,3036,14305,156919,920625,1111218,1,250,90
486467,288,302,39080,79906,1936,3310,28140,364637,920625,1111218,1,250,90
483355,288,302,38350,88856,1903,3098,28355,389017,920625,1111218,1,250,90
464072,288,302,37430,82088,1887,2850,26358,361767,920625,1111218,1,250,90
195815,288,302,11319,30202,1871,2864,12474,128516,920625,1111218,1,250,90
368226,288,302,29657,80347,1878,2666,19965,291180,920625,1111218,1,250,90

