complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
25198,4,4,13542,1407,3545,48547566,120
25777,4,4,13586,1412,3128,48547566,120
24944,4,4,13339,1421,3302,48547566,120
24746,4,4,12988,1237,2862,48547566,120
25880,4,4,13068,1272,3120,48547566,120
37474,4,4,13503,3558,4117,48547566,120
24275,4,4,13150,1272,2920,48547566,120
25327,4,4,13606,1680,2793,48547566,120
24900,4,4,13925,1297,2664,48547566,120
25394,4,4,13480,1408,3111,48547566,120
25063,4,4,13739,1346,3026,48547566,120
26112,4,4,14346,1352,3100,48547566,120
25386,4,4,12681,1412,3081,48547566,120
25082,4,4,12763,1425,2829,48547566,120
25216,4,4,12935,1352,3076,48547566,120
25104,4,4,13871,1347,2940,48547566,120
24705,4,4,12849,1304,2976,48547566,120
25150,4,4,12933,1341,2973,48547566,120
25644,4,4,13422,1434,2970,48547566,120
30069,4,4,12699,2776,4331,48547566,120
