complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
25455,4,4,14167,1338,2772,48547566,80
27493,4,4,14231,1491,2853,48547566,80
25206,4,4,14305,1421,3568,48547566,80
24827,4,4,13254,1403,2990,48547566,80
26001,4,4,13594,1359,2808,48547566,80
25056,4,4,12923,1331,3044,48547566,80
25825,4,4,13324,1410,2931,48547566,80
24785,4,4,13817,1349,2795,48547566,80
25896,4,4,13313,1419,3077,48547566,80
29064,4,4,14838,1377,5597,48547566,80
25617,4,4,13301,1393,2933,48547566,80
26190,4,4,13424,1404,2946,48547566,80
24916,4,4,13123,1344,2842,48547566,80
25067,4,4,13198,1366,2879,48547566,80
25548,4,4,12539,1337,2958,48547566,80
25688,4,4,13325,1328,2814,48547566,80
27106,4,4,14174,1402,2929,48547566,80
26394,4,4,14579,1437,3142,48547566,80
24759,4,4,13661,1273,2782,48547566,80
25721,4,4,14884,1434,2992,48547566,80
