complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
1169985,64,68,601015,11205,947045,783000000,80
1116442,64,68,566885,11199,915936,783000000,80
1085069,64,68,581279,10991,835356,783000000,80
1084973,64,68,530289,11387,838554,783000000,80
1178477,64,68,698623,11645,897145,783000000,80
1105365,64,68,508761,11730,875413,783000000,80
1130112,64,68,471885,11255,866954,783000000,80
1143239,64,68,608065,11403,970922,783000000,80
1080075,64,68,572726,11878,884257,783000000,80
1100314,64,68,573895,11186,882527,783000000,80
1099680,64,68,588898,11447,871992,783000000,80
797486,64,68,319657,11356,533226,783000000,80
1084100,64,68,558161,10939,788052,783000000,80
1077902,64,68,567774,10994,841588,783000000,80
1263113,64,68,737332,10924,1031790,783000000,80
1165039,64,68,579535,11035,930741,783000000,80
1267359,64,68,630654,11795,971307,783000000,80
1124085,64,68,598677,11316,927901,783000000,80
1113250,64,68,605072,11413,893216,783000000,80
1027651,64,68,622779,11091,807356,783000000,80
