complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
1350617,1560,1009,42431,3125,45798,2879987999,60
1350855,1560,1009,42559,3098,45592,2879987999,60
1383152,1560,1009,43294,3337,46689,2879987999,60
1364943,1560,1009,41773,3037,47429,2879987999,60
1353749,1560,1009,42718,3190,45767,2879987999,60
1362813,1560,1009,42485,3396,46567,2879987999,60
1834629,1560,1009,45274,2524,79595,2879987999,60
1354475,1560,1009,42056,3111,46471,2879987999,60
1304096,1560,1009,41326,3154,43250,2879987999,60
1345101,1560,1009,42204,3278,45634,2879987999,60
1329334,1560,1009,41282,3187,44689,2879987999,60
1321728,1560,1009,41797,2984,44244,2879987999,60
1357468,1560,1009,42423,3158,46408,2879987999,60
1378955,1560,1009,42433,3453,47113,2879987999,60
1351768,1560,1009,42395,3051,45641,2879987999,60
1362477,1560,1009,42263,3207,46782,2879987999,60
1325614,1560,1009,41012,3287,45392,2879987999,60
1372640,1560,1009,42560,3267,46599,2879987999,60
1349266,1560,1009,41772,3187,46682,2879987999,60
1326812,1560,1009,41457,3195,44747,2879987999,60
