complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
46340,64,68,29218,1775,9977,783000000,100
36948,64,68,16182,1344,3211,783000000,100
36107,64,68,16054,1368,3227,783000000,100
35305,64,68,16082,1338,3241,783000000,100
38907,64,68,15867,1318,2808,783000000,100
36559,64,68,16051,1342,3217,783000000,100
36954,64,68,16127,1331,3163,783000000,100
38784,64,68,15820,1296,2841,783000000,100
34702,64,68,15896,1440,3522,783000000,100
38163,64,68,16247,1301,2827,783000000,100
35948,64,68,16304,1412,3236,783000000,100
32829,64,68,16242,1452,3552,783000000,100
43927,64,68,19603,1611,11411,783000000,100
34256,64,68,16048,1424,3475,783000000,100
38806,64,68,15805,1263,2765,783000000,100
37859,64,68,16021,1294,2939,783000000,100
36845,64,68,16037,1323,3131,783000000,100
36531,64,68,16050,1277,2881,783000000,100
40774,64,68,15951,1284,2818,783000000,100
35511,64,68,16301,1298,3002,783000000,100
