complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
860380,1560,1009,43516,3077,50296,2879987999,120
854365,1560,1009,41408,3052,52849,2879987999,120
889550,1560,1009,42462,3328,56928,2879987999,120
792239,1560,1009,40574,3132,44946,2879987999,120
915204,1560,1009,41907,3099,60912,2879987999,120
853673,1560,1009,41383,3089,52775,2879987999,120
814048,1560,1009,41954,3275,46795,2879987999,120
813513,1560,1009,40996,3328,45744,2879987999,120
830099,1560,1009,42964,3018,47128,2879987999,120
835816,1560,1009,43728,3094,46915,2879987999,120
818011,1560,1009,43362,3155,44982,2879987999,120
841488,1560,1009,43803,3029,47338,2879987999,120
812554,1560,1009,42405,3492,44118,2879987999,120
829569,1560,1009,43026,3173,47257,2879987999,120
897844,1560,1009,43231,3551,54808,2879987999,120
831267,1560,1009,43764,3179,46305,2879987999,120
814467,1560,1009,43129,3012,44608,2879987999,120
830216,1560,1009,42518,3176,48143,2879987999,120
827576,1560,1009,43500,3274,46130,2879987999,120
812291,1560,1009,42334,3422,44433,2879987999,120
