complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
346126,574,601,46057,3168,27406,720015053,100
322248,573,601,44077,2628,27440,720015053,100
389432,573,601,44734,2698,43700,720015053,100
384803,573,601,29309,3226,54710,720015053,100
217427,573,601,15869,2829,29334,720015053,100
336216,573,601,33904,3047,38957,720015053,100
275541,573,601,23903,2854,35173,720015053,100
415862,573,601,39852,2808,54419,720015053,100
399723,573,601,40551,2763,50168,720015053,100
472913,573,601,49368,2714,59487,720015053,100
337827,573,601,47625,2803,28832,720015053,100
323014,573,601,45763,2935,27348,720015053,100
346500,573,601,31910,2933,44270,720015053,100
372214,573,601,47251,2791,37354,720015053,100
308115,573,601,33957,2818,33317,720015053,100
330196,573,601,44974,2927,28955,720015053,100
328510,573,601,45794,2916,28113,720015053,100
336496,573,601,48172,2953,28768,720015053,100
333596,573,601,47470,3062,26774,720015053,100
322319,573,601,44140,3082,28723,720015053,100
