complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
944238,1183,1009,41388,7762,49903,1439980416,80
956760,1183,1009,42898,7786,49961,1439980416,80
970408,1183,1009,42894,7662,51864,1439980416,80
973985,1183,1009,42384,7617,52246,1439980416,80
951012,1183,1009,42431,7888,49903,1439980416,80
961442,1183,1009,42501,7864,50445,1439980416,80
951453,1183,1009,41986,7924,50103,1439980416,80
936542,1183,1009,41670,7968,48707,1439980416,80
964306,1183,1009,43101,7871,50198,1439980416,80
980766,1183,1009,42903,7795,52862,1439980416,80
959871,1183,1009,43291,7766,50186,1439980416,80
950370,1183,1009,42991,7199,49212,1439980416,80
969500,1183,1009,43081,7880,50781,1439980416,80
975537,1183,1009,43474,7808,51261,1439980416,80
970177,1183,1009,43269,7936,50305,1439980416,80
974120,1183,1009,43061,7637,51918,1439980416,80
968658,1183,1009,42851,8002,50731,1439980416,80
961678,1183,1009,41978,7713,51691,1439980416,80
948607,1183,1009,42143,7594,49941,1439980416,80
950270,1183,1009,42424,7934,49269,1439980416,80
