complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
143962,144,151,69332,2199,31642,180006827,80
64469,144,151,23159,2429,16122,180006827,80
55762,144,151,23033,2230,9639,180006827,80
55707,144,151,21575,2349,10139,180006827,80
458178,144,151,22751,1918,269396,180006827,80
55330,144,151,21084,2220,10771,180006827,80
56512,144,151,21538,2377,11231,180006827,80
69760,144,151,21787,2344,22047,180006827,80
78965,144,151,23231,2286,26577,180006827,80
296910,144,151,24199,2035,172614,180006827,80
55749,144,151,22073,2291,10475,180006827,80
85055,144,151,24452,2117,28800,180006827,80
60846,144,151,22719,2269,14217,180006827,80
56818,144,151,22020,2277,11132,180006827,80
59300,144,151,23187,2346,11250,180006827,80
57640,144,151,22510,2311,9952,180006827,80
606386,144,151,31977,1792,317177,180006827,80
260390,144,151,22884,2056,134953,180006827,80
57379,144,151,23033,2302,9964,180006827,80
56411,144,151,22455,2247,10159,180006827,80
