complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
265721,434,455,50891,1864,27677,540010211,100
130677,434,455,16069,1869,17769,540010211,100
242548,434,455,34566,2015,36982,540010211,100
252435,434,455,32801,1715,40555,540010211,100
115412,434,455,16676,1861,11913,540010211,100
188494,434,455,16082,1738,35891,540010211,100
234920,434,455,27692,1765,39478,540010211,100
249919,434,455,19838,1808,52158,540010211,100
228554,434,455,24612,2986,38428,540010211,100
187180,434,455,16022,1784,36343,540010211,100
154318,434,455,15630,1899,24956,540010211,100
239196,434,455,30101,1849,39320,540010211,100
156117,434,455,17369,1864,25005,540010211,100
194450,434,455,16672,1845,37909,540010211,100
248257,434,455,30948,1823,41581,540010211,100
154650,434,455,17575,1806,24495,540010211,100
240351,434,455,23848,1790,45067,540010211,100
208753,434,455,24845,1777,33190,540010211,100
135292,434,455,17050,1843,18186,540010211,100
243385,434,455,35634,1873,35011,540010211,100
