complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
79065,3,3,48628,7223,37409,31321566,80
73415,3,3,46212,7154,31838,31321566,80
79111,3,3,48430,7320,36943,31321566,80
77055,3,3,46961,7087,35504,31321566,80
76457,3,3,47011,7099,36579,31321566,80
82525,3,3,50501,7181,37866,31321566,80
75490,3,3,46869,7172,32604,31321566,80
79932,3,3,48866,7578,36723,31321566,80
75437,3,3,46488,7202,35126,31321566,80
73872,3,3,45472,7224,33468,31321566,80
81900,3,3,50661,7271,40342,31321566,80
79874,3,3,49007,7181,35688,31321566,80
82386,3,3,49243,7136,39666,31321566,80
77956,3,3,48299,7136,35684,31321566,80
75884,3,3,47661,7024,32522,31321566,80
77911,3,3,49389,7287,37070,31321566,80
80559,3,3,47936,7312,37934,31321566,80
73817,3,3,46627,6998,29857,31321566,80
78087,3,3,49020,7012,36365,31321566,80
80871,3,3,49639,7115,39005,31321566,80
