complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
79482,3,3,49008,7368,36132,31321566,120
77189,3,3,47235,7176,36075,31321566,120
79274,3,3,49321,7328,37650,31321566,120
82701,3,3,51147,7481,39644,31321566,120
78731,3,3,49272,7223,35425,31321566,120
78194,3,3,49293,7329,33693,31321566,120
79887,3,3,48312,7189,34779,31321566,120
74405,3,3,47002,7162,31061,31321566,120
80881,3,3,48259,7160,40017,31321566,120
76495,3,3,47848,7450,31545,31321566,120
80946,3,3,49408,7098,38217,31321566,120
86769,3,3,51822,7300,45018,31321566,120
82579,3,3,51070,7346,39174,31321566,120
74572,3,3,47195,7034,33963,31321566,120
77393,3,3,47964,7140,35809,31321566,120
78950,3,3,47609,7163,37236,31321566,120
76748,3,3,47580,7438,32953,31321566,120
75598,3,3,48002,7116,35012,31321566,120
79739,3,3,48747,7210,37684,31321566,120
80317,3,3,49492,6995,35973,31321566,120
