complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
702759,65,68,148201,11480,521358,783000000,100
757755,65,68,176316,11391,588515,783000000,100
642577,65,68,180693,11403,505577,783000000,100
697601,65,68,161918,11554,543342,783000000,100
774852,65,69,169855,12549,619775,783000000,100
537061,64,68,138003,11666,400527,783000000,100
619667,65,68,156017,12948,453430,783000000,100
918644,65,68,288021,11526,765336,783000000,100
680644,64,68,173379,11769,538451,783000000,100
626945,65,68,152569,11788,476660,783000000,100
792485,65,68,182672,11236,633209,783000000,100
690441,65,68,149507,11329,529533,783000000,100
636579,64,68,172675,11528,497448,783000000,100
644371,65,68,204787,11204,522995,783000000,100
570007,64,68,138789,11283,424333,783000000,100
641054,64,68,167190,11234,490882,783000000,100
764924,66,68,238735,10961,625519,783000000,100
702510,66,68,205139,11301,582314,783000000,100
1261311,65,68,230825,10987,1061969,783000000,100
534517,64,68,138964,11284,388696,783000000,100
