complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
814861,1560,1009,43164,84904,3197,5483,44789,638948,2879987999,100
833077,1560,1009,43157,84708,3616,11042,46910,648026,2879987999,100
968736,1560,1009,44221,87011,3108,5344,65279,790513,2879987999,100
820745,1560,1009,43101,86132,3142,12953,44545,640317,2879987999,100
805884,1560,1009,42637,89146,3245,6370,44475,628011,2879987999,100
840916,1560,1009,43085,88317,3038,5455,48260,661500,2879987999,100
840391,1560,1009,43683,88794,3186,5395,47878,661915,2879987999,100
874625,1560,1009,43230,89385,3120,5118,52892,696229,2879987999,100
822212,1560,1009,42799,95661,3203,5492,46190,640613,2879987999,100
824858,1560,1009,43783,84747,3125,5408,45415,645063,2879987999,100
919377,1560,1009,43882,83145,3080,5374,58719,741777,2879987999,100
821487,1560,1009,42981,86492,3212,5917,46067,643626,2879987999,100
816379,1560,1009,42775,85501,3118,5122,45443,637310,2879987999,100
803994,1560,1009,42468,85174,3143,5692,44148,624770,2879987999,100
925920,1560,1009,43488,87904,3096,5657,60456,745824,2879987999,100
829963,1560,1009,43131,88787,3203,5413,45773,641094,2879987999,100
826594,1560,1009,42753,89680,3129,5726,47121,647106,2879987999,100
810689,1560,1009,42604,84149,3112,5306,44929,636308,2879987999,100
820818,1560,1009,43290,87528,3209,5610,45414,641206,2879987999,100
812867,1560,1009,42509,85179,2958,5110,44815,636013,2879987999,100
