complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
194793,381,400,54643,2350,24925,720007118,120
89068,381,400,17514,2236,11992,720007118,120
219411,381,400,19175,2153,66734,720007118,120
111617,381,400,18499,2240,20919,720007118,120
159474,381,400,19100,2165,41463,720007118,120
113151,381,400,17368,2548,18211,720007118,120
191200,381,400,17792,2193,58226,720007118,120
105114,381,400,18337,2251,18930,720007118,120
97891,381,400,18061,2229,15241,720007118,120
85513,381,400,17374,2293,11360,720007118,120
275423,381,400,17708,2120,93120,720007118,120
153241,381,400,17350,2150,41174,720007118,120
94566,381,400,17630,2260,14209,720007118,120
127534,381,400,20196,2157,26396,720007118,120
89058,381,400,17103,2385,12847,720007118,120
150540,381,400,17445,2170,39526,720007118,120
141743,381,400,17409,2132,35283,720007118,120
215385,381,400,18549,2126,65787,720007118,120
132011,381,400,18596,2225,30679,720007118,120
126269,381,400,20911,2235,25637,720007118,120
