complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
150958,144,151,62458,2062,16744,180006827,60
68192,144,151,19540,2117,10371,180006827,60
76461,144,151,20818,2078,13430,180006827,60
68250,144,151,19466,2038,10657,180006827,60
125029,144,151,20084,1985,36690,180006827,60
111661,144,151,29236,2043,25540,180006827,60
83789,144,151,21039,2063,17618,180006827,60
66802,144,151,20190,2128,8899,180006827,60
69003,144,151,19443,2187,10735,180006827,60
74965,144,151,20260,2754,9460,180006827,60
66802,144,151,20616,2092,9096,180006827,60
70699,144,151,19827,2093,11114,180006827,60
68647,144,151,18816,2061,10931,180006827,60
70418,144,151,20525,2032,10764,180006827,60
65387,144,151,19156,2093,8954,180006827,60
73730,144,151,20084,2146,13433,180006827,60
83568,144,151,20095,8363,10956,180006827,60
74421,144,151,22062,2013,11041,180006827,60
68661,144,151,20994,2154,9480,180006827,60
68888,144,151,19018,2047,10585,180006827,60
