complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
67727,2,2,39649,6063,26242,18271305,120
71967,2,2,42055,6128,28279,18271305,120
71581,2,2,40285,6273,30264,18271305,120
70428,2,2,40859,6050,28954,18271305,120
71837,2,2,40265,6096,32864,18271305,120
77879,2,2,42824,6102,38765,18271305,120
73304,2,2,41727,6260,33632,18271305,120
71207,2,2,40614,6178,28935,18271305,120
76959,2,2,43434,6240,35773,18271305,120
75473,2,2,41443,6007,37450,18271305,120
69698,2,2,40717,6144,26891,18271305,120
73921,2,2,43590,6106,28816,18271305,120
71893,2,2,41102,6177,29719,18271305,120
74378,2,2,41429,6175,33548,18271305,120
71875,2,2,40091,6710,29806,18271305,120
67096,2,2,39612,6143,23663,18271305,120
72538,2,2,41312,6206,31872,18271305,120
72967,2,2,41134,6248,31879,18271305,120
77132,2,2,42186,6196,34615,18271305,120
71018,2,2,41638,6096,29573,18271305,120
