complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
89466,3,3,53619,7259,35579,31321566,100
73230,3,3,45006,7174,32959,31321566,100
76413,3,3,47767,7084,33688,31321566,100
73155,3,3,46624,7374,30179,31321566,100
81255,3,3,49849,7180,38983,31321566,100
79775,3,3,49586,7101,36462,31321566,100
80469,3,3,50884,7170,34070,31321566,100
75013,3,3,46560,7207,33815,31321566,100
81904,3,3,50969,7107,38472,31321566,100
79904,3,3,49428,7233,35134,31321566,100
77232,3,3,47640,6970,36471,31321566,100
78029,3,3,47576,7097,37188,31321566,100
78414,3,3,46836,7162,36095,31321566,100
76157,3,3,47438,7045,33373,31321566,100
77229,3,3,49298,7107,32317,31321566,100
75646,3,3,47683,7027,32391,31321566,100
78033,3,3,48997,7108,35596,31321566,100
77802,3,3,47711,6951,35994,31321566,100
77255,3,3,48013,7190,35346,31321566,100
79451,3,3,46986,7319,38225,31321566,100
