complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
67768,64,68,49474,56008,2141,2762,7085,13066,783000000,60
39785,64,68,22026,24949,1606,2400,4073,6071,783000000,60
46651,64,68,22587,32101,3627,7252,8138,12111,783000000,60
39727,64,68,21403,23673,1640,2795,4271,6517,783000000,60
40717,64,68,22516,26078,1807,3067,4562,6082,783000000,60
40404,64,68,22098,25235,1534,2810,3835,5393,783000000,60
64491,64,68,30409,52828,2527,4195,26862,32824,783000000,60
43908,64,68,24642,30752,1873,3219,6302,9562,783000000,60
42998,64,68,23449,27829,1886,3319,5824,7831,783000000,60
60675,64,68,29836,48847,2589,3860,22978,28054,783000000,60
48241,64,68,23033,27762,1655,3388,6793,13131,783000000,60
51209,64,68,21466,25010,2897,10173,5230,7830,783000000,60
41063,64,68,22039,24942,1639,2548,4568,6820,783000000,60
40920,64,68,22065,25014,1643,2555,4328,5987,783000000,60
52642,64,68,22267,27323,1400,2150,11726,22614,783000000,60
54017,64,68,24989,32343,1605,2845,10768,19043,783000000,60
41196,64,68,22610,27172,1877,3038,4777,7144,783000000,60
40194,64,68,21672,24309,1689,3019,4375,6234,783000000,60
61997,64,68,31918,51294,2762,3688,23574,30251,783000000,60
58179,64,68,28148,46590,2420,3148,18103,25717,783000000,60
