complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
46340,64,68,29218,35700,1775,2525,9977,15759,783000000,100
36948,64,68,16182,17527,1344,1857,3211,4579,783000000,100
36107,64,68,16054,17559,1368,2266,3227,5507,783000000,100
35305,64,68,16082,17597,1338,1707,3241,4055,783000000,100
38907,64,68,15867,16716,1318,1450,2808,2989,783000000,100
36559,64,68,16051,17630,1342,1684,3217,4157,783000000,100
36954,64,68,16127,17446,1331,1679,3163,3962,783000000,100
38784,64,68,15820,16997,1296,1535,2841,3104,783000000,100
34702,64,68,15896,17750,1440,2354,3522,5729,783000000,100
38163,64,68,16247,17423,1301,1709,2827,3391,783000000,100
35948,64,68,16304,18242,1412,2600,3236,4520,783000000,100
32829,64,68,16242,17630,1452,3244,3552,5578,783000000,100
43927,64,68,19603,34608,1611,1785,11411,17818,783000000,100
34256,64,68,16048,17893,1424,2150,3475,4403,783000000,100
38806,64,68,15805,16850,1263,1468,2765,2965,783000000,100
37859,64,68,16021,17205,1294,1458,2939,3358,783000000,100
36845,64,68,16037,17501,1323,1810,3131,4399,783000000,100
36531,64,68,16050,17559,1277,1514,2881,3650,783000000,100
40774,64,68,15951,17406,1284,1485,2818,3015,783000000,100
35511,64,68,16301,18391,1298,1635,3002,3736,783000000,100
