complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
2162432,1183,1009,44530,91110,9522,44623,251196,762817,1439980416,100
1948246,1183,1009,42788,97099,29013,475108,194846,608702,1439980416,100
1824296,1183,1009,43886,96349,43557,413967,161959,505475,1439980416,100
1942924,1183,1009,42565,88054,8995,162442,220983,567790,1439980416,100
2347015,1183,1009,42727,87884,7572,26602,282829,713096,1439980416,100
2415899,1183,1009,42380,89786,7320,24254,293134,759204,1439980416,100
2376705,1183,1009,43824,91009,8029,36294,285719,817519,1439980416,100
2373575,1183,1009,43492,84626,8594,62079,285285,932133,1439980416,100
2385860,1183,1009,42975,87025,9525,40069,286582,807862,1439980416,100
2509774,1183,1009,43406,89887,9159,35083,303845,937505,1439980416,100
2589319,1183,1009,43484,89383,7214,23967,317374,946322,1439980416,100
2559879,1183,1009,43931,88871,8371,29144,311118,860254,1439980416,100
2752220,1183,1009,44199,87859,8261,32809,340873,1162268,1439980416,100
2357868,1183,1009,41861,88717,7181,20082,285905,793758,1439980416,100
2260484,1183,1009,42716,93770,8472,59497,268710,679393,1439980416,100
2301220,1183,1009,42283,89022,9233,56069,275067,792518,1439980416,100
2550110,1183,1009,43930,93000,9127,32715,308203,785711,1439980416,100
2696321,1183,1009,43591,91610,8337,34265,332804,944284,1439980416,100
2644347,1183,1009,44256,93050,8518,34631,323038,976981,1439980416,100
2437695,1183,1009,42785,91408,8825,32751,295162,699925,1439980416,100
