complTime,nCores
83021,120
79817,120
80748,120
78109,120
84839,120
84099,120
78223,120
79891,120
84822,120
80958,120
83407,120
94370,120
83848,120
77833,120
83025,120
78890,120
83306,120
97338,120
86814,120
79378,120
