complTime,nCores
1350617,60
1350855,60
1383152,60
1364943,60
1353749,60
1362813,60
1834629,60
1354475,60
1304096,60
1345101,60
1329334,60
1321728,60
1357468,60
1378955,60
1351768,60
1362477,60
1325614,60
1372640,60
1349266,60
1326812,60
