Application class: R4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
172276,288,302,24685,78578,2871,4654,32876,116995,920625,1111218,1,250,80
146143,288,302,21494,48099,2793,4070,22720,89153,920625,1111218,1,250,80
212318,288,302,39279,81854,2756,4522,31549,142854,920625,1111218,1,250,80
134734,288,302,16345,30845,2735,4232,25605,85841,920625,1111218,1,250,80
195652,288,302,17616,37663,2856,3987,47902,144508,920625,1111218,1,250,80
104063,288,302,17178,33614,2937,5079,13442,54621,920625,1111218,1,250,80
122300,288,302,16709,31287,2936,4388,21259,72915,920625,1111218,1,250,80
204102,288,302,43042,84495,2870,4828,27341,143006,920625,1111218,1,250,80
171640,288,302,17222,33774,2778,4551,39929,118990,920625,1111218,1,250,80
128412,288,302,19256,64947,2877,4378,20998,75321,920625,1111218,1,250,80
194672,288,302,22480,58266,2793,4096,43500,148682,920625,1111218,1,250,80
100218,288,302,17350,33683,2857,4712,12240,50700,920625,1111218,1,250,80
143707,288,302,16035,30265,2953,4527,29993,96895,920625,1111218,1,250,80
107742,288,302,17352,36472,2773,10699,10858,49388,920625,1111218,1,250,80
212910,288,302,51497,85718,3062,4876,23970,105604,920625,1111218,1,250,80
237732,288,302,55244,87083,2797,4481,29748,128832,920625,1111218,1,250,80
216603,288,302,39009,86787,2810,4045,36510,157173,920625,1111218,1,250,80
176789,288,302,29299,78595,2833,4563,30072,123757,920625,1111218,1,250,80
157218,288,302,15774,31356,2679,4129,35442,110123,920625,1111218,1,250,80
156991,288,302,29523,81514,2922,4880,22503,98952,920625,1111218,1,250,80

