complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
106688,144,151,77063,2530,10858,180006827,100
49035,144,151,23954,2483,9294,180006827,100
47123,144,151,23610,2398,7767,180006827,100
43544,144,151,20278,2461,7828,180006827,100
44195,144,151,22312,2313,7501,180006827,100
48898,144,151,24137,2397,9532,180006827,100
49404,144,151,22506,4889,7787,180006827,100
45445,144,151,22739,2177,7038,180006827,100
44163,144,151,21419,2120,7509,180006827,100
50461,144,151,23777,2533,11540,180006827,100
45662,144,151,21858,2258,8111,180006827,100
49229,144,151,23719,2446,9887,180006827,100
45247,144,151,22998,2295,7692,180006827,100
43904,144,151,21788,2254,7510,180006827,100
45859,144,151,22449,2167,7339,180006827,100
46071,144,151,23222,2383,7657,180006827,100
51572,144,151,25080,2286,7282,180006827,100
48774,144,151,23584,2486,10088,180006827,100
45720,144,151,22076,2287,7764,180006827,100
43542,144,151,21624,2275,7743,180006827,100
