complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
32695,2,2,12260,5853,3716,18271305,60
23450,2,2,11211,1409,3103,18271305,60
22586,2,2,10377,1420,4619,18271305,60
23898,2,2,12058,1423,4746,18271305,60
21575,2,2,10737,1165,2655,18271305,60
25823,2,2,12675,1514,4960,18271305,60
22699,2,2,10914,1426,3194,18271305,60
23744,2,2,11710,1323,4669,18271305,60
22792,2,2,10780,1307,4612,18271305,60
23017,2,2,11133,1283,3600,18271305,60
21603,2,2,10919,1298,2806,18271305,60
23680,2,2,11908,1295,4648,18271305,60
22629,2,2,11816,1294,3074,18271305,60
22617,2,2,10745,1298,4647,18271305,60
22333,2,2,10994,1321,3119,18271305,60
26902,2,2,13852,1420,2876,18271305,60
24272,2,2,10949,1308,2734,18271305,60
21952,2,2,10640,1163,3012,18271305,60
22738,2,2,11192,1442,3241,18271305,60
22713,2,2,11477,1562,3672,18271305,60
