complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
400682,434,455,46130,1882,25906,540010211,60
371669,434,455,30079,1970,35408,540010211,60
416357,434,455,40040,1914,35649,540010211,60
407320,434,455,45976,2044,27959,540010211,60
396581,434,455,37185,2784,30853,540010211,60
360306,434,455,30130,1828,32497,540010211,60
406589,434,455,43341,1907,29559,540010211,60
400689,434,455,40920,2118,31950,540010211,60
391037,434,455,39521,1977,30794,540010211,60
398644,434,455,41322,1839,29764,540010211,60
399077,434,455,45767,1808,26483,540010211,60
390314,434,455,35008,2080,35632,540010211,60
417664,434,455,46400,1909,29865,540010211,60
392148,434,455,45057,1909,25266,540010211,60
403194,434,455,45991,1869,26796,540010211,60
318686,434,455,33404,1998,22351,540010211,60
478697,434,455,47402,1869,39660,540010211,60
250818,434,455,21766,2009,20815,540010211,60
380252,434,455,35855,1968,32180,540010211,60
410528,434,455,46793,1949,28242,540010211,60
